time_ni,acel_ni
2.835,1.981071123
2.845,2.373362199
2.877,3.040153275
2.885,3.040144351
2.895,3.079335426
2.935,2.334026502
2.945,2.059517578
2.957,0.882708654
2.965,0.88269973
2.975,0.137390805
2.985,-0.176518119
2.995,-1.549427043
3.005,-2.373235967
3.015,-3.079244891
3.025,-3.746153816
3.035,-4.68756274
3.045,-5.354471664
3.055,-6.178180588
3.065,-6.609689512
3.075,-7.041198437
3.085,-6.452807361
3.095,-6.021316285
3.105,-5.668325209
3.115,-5.040734133
3.125,-4.373843057
3.135,-3.275551982
3.145,-2.294860906
3.155,-1.35346983
3.165,-0.490478754
3.175,0.137212322
3.185,0.764803397
3.195,1.274694473
3.205,1.980785549
3.215,2.529976625
3.225,3.549867701
3.235,4.255858776
3.245,4.922749852
3.255,5.393440928
3.265,5.589532004
3.275,5.70722308
3.285,5.354214155
3.295,5.118805231
3.305,5.158096307
3.315,4.844187383
3.325,4.334278459
3.335,3.392869535
3.345,2.45136061
3.355,1.627651686
3.365,0.725442762
3.375,-0.216066162
3.385,-1.196775086
3.395,-2.922684011
3.405,-3.628792935
3.415,-4.217201859
3.425,-4.687910783
3.435,-5.080219707
3.445,-5.394028632
3.455,-5.315537556
3.465,-5.04104648
3.475,-4.962555404
3.485,-4.962564328
3.495,-5.119473253
3.505,-4.570282177
3.515,-3.824991101
3.525,-2.883600025
3.535,-1.746008949
3.545,-0.530017873
3.555,0.646773202
3.565,1.666664278
3.575,2.686555354
3.585,3.66714643
3.595,4.961637506
3.605,5.197028581
3.615,5.824619657
3.625,5.706910733
3.635,5.550001809
3.645,4.804692885
3.655,4.76548396
3.665,4.530075036
3.675,4.373166112
3.685,3.902457188
3.695,3.314048264
3.705,2.490239339
3.715,1.862630415
3.725,1.078121491
3.735,0.646612567
3.745,-0.137896357
3.755,-0.530205281
3.765,-1.118614206
3.775,-2.06002313
3.785,-2.491532054
3.795,-3.354540978
3.805,-3.433049902
3.815,-3.629158827
3.825,-3.982167751
3.835,-4.139076675
3.845,-4.296085599
3.855,-4.296094523
3.865,-4.099903448
3.875,-4.139112372
3.885,-4.139121296
3.895,-4.37453022
3.905,-4.099939144
3.915,-3.746948068
3.925,-3.197756993
3.935,-2.844765917
3.945,-2.256374841
3.955,-1.628683765
3.965,-1.001092689
3.975,-0.177401614
3.985,0.607189462
3.995,1.823180538
4.005,3.078371614
4.015,4.68666269
4.025,5.628153765
4.035,6.177244841
4.045,6.530335917
4.055,6.648026993
4.065,6.294918069
4.075,5.824209144
4.085,5.58880022
4.095,5.196591296
4.105,4.765082372
4.115,4.019773448
4.125,3.195964524
4.135,2.293755599
4.145,1.195446675
4.155,0.371637751
4.165,-0.452071173
4.175,-1.354380097
4.185,-2.374289022
4.195,-3.943297946
4.205,-4.53170687
4.215,-5.237815794
4.225,-5.630124718
4.235,-5.747733643
4.245,-5.747742567
4.255,-5.355551491
4.265,-5.198660415
4.275,-5.277069339
4.285,-5.041778264
4.295,-4.688687188
4.305,-3.943396112
4.315,-2.845105036
4.325,-1.78601396
4.335,-0.687622884
4.345,0.606868191
4.355,1.430559267
4.365,2.372050343
4.375,3.509541419
4.385,4.411832495
4.395,5.70622357
4.405,6.176914646
4.415,6.608405722
4.425,6.098496798
4.435,5.902387874
4.445,5.784678949
4.455,5.588470025
4.465,5.157061101
4.475,4.490152177
4.485,3.391843253
4.495,2.136534328
4.505,0.685125404
4.515,-0.41318352
4.525,-1.354692444
4.535,-2.217601368
4.545,-2.609910292
4.555,-2.884519217
4.565,-3.080628141
4.575,-3.512137065
4.585,-3.825945989
4.595,-4.335954913
4.605,-4.571263838
4.615,-4.453672762
4.625,-4.139781686
4.635,-4.41439061
4.645,-4.532099534
4.655,-4.492908459
4.665,-4.061417383
4.675,-3.237626307
4.685,-2.570835231
4.695,-1.943244155
4.705,-1.00175308
4.715,-0.413362004
4.725,0.331929072
4.735,1.391020148
4.745,2.371711224
4.755,3.9800023
4.765,5.235193375
4.775,5.470584451
4.785,6.215875527
4.795,6.058966603
4.805,5.902057679
4.815,5.509748754
4.825,5.23513983
4.835,4.842830906
4.845,4.489821982
4.855,3.626813058
4.865,2.803104133
4.875,2.057795209
4.885,1.194786285
4.895,0.253277361
4.905,-0.609731563
4.915,-1.355040487
4.925,-1.982649412
4.935,-2.531858336
4.945,-2.76716726
4.955,-3.277176184
4.965,-3.943985108
4.975,-4.100894033
4.985,-4.493202957
4.995,-4.807011881
5.005,-4.689320805
5.015,-4.885529729
5.025,-5.120838654
5.035,-5.081647578
5.045,-4.571656502
5.055,-3.983265426
5.065,-3.04187435
5.075,-2.061183275
5.085,-1.237492199
5.095,-0.374501123
5.105,0.841489953
5.115,1.704481029
5.125,2.920472105
5.135,4.29346318
5.145,5.470254256
5.155,5.705545332
5.165,5.784036408
5.175,6.254727484
5.185,5.705518559
5.195,5.195609635
5.205,4.842500711
5.215,4.607191787
5.225,4.214882863
5.235,3.626473938
5.245,3.077265014
5.255,2.25355609
5.265,1.743547166
5.275,0.919838242
5.285,0.135329317
5.295,-0.570779607
5.305,-1.198488531
5.315,-2.100697455
5.325,-2.846006379
5.335,-3.669715303
5.345,-4.454324228
5.355,-5.121133152
5.365,-5.434942076
5.375,-5.709551
5.385,-5.317259924
5.395,-5.434968849
5.405,-5.003477773
5.415,-4.493586697
5.425,-3.787495621
5.435,-3.042204545
5.445,-2.37541347
5.455,-1.433922394
5.465,-0.296331318
5.475,0.762759758
5.485,1.782650834
5.495,2.920141909
5.505,3.979332985
5.515,4.646124061
5.525,5.666015137
5.535,5.313006213
5.545,5.626797289
5.555,5.391388364
5.565,4.60687944
5.575,4.332270516
5.585,4.057661592
5.595,3.665352668
5.605,3.116243743
5.615,2.370934819
5.625,1.782525895
5.635,0.919516971
5.645,0.291908047
5.655,-0.257300878
5.665,-0.767309802
5.675,-1.473318726
5.685,-1.82642765
5.695,-2.297136574
